# VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38
20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747,20.505,-1.90367747
21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107,21.005,-1.903677107
21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746,21.505,-1.903676746
22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386,22.005,-1.903676386
22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027,22.505,-1.903676027
23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669,23.005,-1.903675669
23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313,23.505,-1.903675313
24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957,24.005,-1.903674957
24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603,24.505,-1.903674603
25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425,25.005,-1.90367425
25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899,25.505,-1.903673899
26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548,26.005,-1.903673548
