# "VAR1","VAR2","VAR3","VAR4","VAR5","VAR6","VAR7","VAR8","VAR9","VAR10","VAR11","VAR12","VAR13","VAR14","VAR15","VAR16","VAR17","VAR18","VAR19","VAR20","VAR21","VAR22","VAR23","VAR24","VAR25","VAR26","VAR27","VAR28","VAR29","VAR30","VAR31","VAR32","VAR33","VAR34"
0.0726900000000001,42.7957,0.0727899999999999,43.0108,0.0800800000000002,39.3548,0.38154,34.6237,0.60207,28.6022,0.77833,23.4409,0.94596,18.9247,1.10476,14.6237,1.05829,10.5376,1.05675,7.0968,1.29619,3.4409,1.4642,-0.2151,1.534,-3.871,1.40727,-7.7419,1.4498,-12.4731,1.32183,-19.1398,0.89729,-30.10752
0.0729799999999998,43.4409,0.0731700000000002,43.871,0.13394,40,0.42628,34.8387,0.65573,28.8172,0.82298,23.4409,0.99963,19.1398,1.16726,14.6237,1.08507,10.5376,1.12818,7.0968,1.35869,3.4409,1.5267,-0.2151,1.5966,-3.6559,1.4787,-7.7419,1.5123,-12.4731,1.39335,-18.9247,0.933,-30.10752
0.0733600000000001,44.3011,0.07355,44.7312,0.16082,40.2151,0.46219,35.2688,0.7095,29.2473,0.85869,23.4409,1.02641,19.1398,1.19404,14.6237,1.12972,10.5376,1.19961,7.0968,1.40333,3.4409,1.57135,-0.2151,1.63231,-3.6559,1.52334,-7.7419,1.56597,-12.2581,1.44702,-18.7097,0.98667,-29.89247
0.0738400000000001,45.3763,0.0829599999999999,45.8065,0.22361,40.8602,0.51595,35.6989,0.76317,29.4624,0.92129,23.6559,1.07096,18.9247,1.22976,14.6237,1.17436,10.5376,1.25318,7.0968,1.43012,3.4409,1.60706,-0.2151,1.69471,-3.871,1.57691,-7.7419,1.59275,-12.2581,1.51854,-18.4946,1.05829,-29.46236
0.0746099999999998,47.0968,0.11013,46.6667,0.2864,41.5054,0.57845,35.6989,0.79888,29.4624,0.97496,23.871,1.13346,18.9247,1.29226,14.6237,1.22793,10.5376,1.31568,7.0968,1.49272,3.6559,1.66956,-0.2151,1.76614,-3.871,1.64834,-7.7419,1.61061,-12.2581,1.58114,-18.2796,1.08517,-29.24731
0.0844,49.0323,0.14604,47.0968,0.32221,41.7204,0.62319,35.914,0.83459,29.4624,1.02853,23.871,1.20499,19.1398,1.3369,14.6237,1.2815,10.5376,1.37818,7.0968,1.55512,3.4409,1.7142,-0.2151,1.81078,-3.871,1.71977,-7.7419,1.64633,-12.2581,1.60792,-18.2796,1.13884,-29.03225
0.0851700000000002,50.7527,0.18194,47.5269,0.385,42.3656,0.68578,36.129,0.90612,29.6774,1.08219,24.086,1.2407,19.1398,1.3994,14.6237,1.344,10.5376,1.44961,7.0968,1.61762,3.4409,1.75885,-0.2151,1.86436,-3.871,1.75549,-7.7419,1.70883,-12.2581,1.67042,-18.2796,1.18358,-28.8172
0.0859399999999999,52.4731,0.1999,47.7419,0.45671,43.0108,0.73936,36.129,0.95086,29.8925,1.15372,24.3011,1.28534,19.1398,1.44404,14.6237,1.39757,10.5376,1.52104,7.0968,1.66226,3.4409,1.81242,-0.2151,1.93588,-3.6559,1.82691,-7.7419,1.78025,-12.2581,1.71507,-18.2796,1.21036,-28.8172
0.13135,54.1936,0.25385,48.6022,0.50155,43.4409,0.79312,36.5591,0.98667,30.1075,1.1805,24.3011,1.35677,19.1398,1.51557,14.8387,1.46007,10.5376,1.58354,7.0968,1.71583,3.4409,1.87501,0,1.9716,-3.6559,1.89834,-7.7419,1.83383,-12.2581,1.77757,-18.2796,1.23724,-28.60215
0.15833,54.6237,0.30771,49.2473,0.53736,43.6559,0.82893,36.7742,1.04034,30.3226,1.243,24.3011,1.41044,19.3548,1.57797,14.6237,1.52267,10.7527,1.63711,7.0968,1.74262,3.4409,1.93751,0,2.02517,-3.6559,1.93406,-7.7419,1.90535,-12.043,1.84909,-18.0645,1.2551,-28.60215
0.17628,54.8387,0.3705,49.8925,0.5821,43.871,0.87367,36.9893,1.08507,30.5376,1.27872,24.3011,1.45518,19.5699,1.64057,14.8387,1.58517,10.7527,1.69068,7.0968,1.76941,3.4409,1.99099,-0.2151,2.08767,-3.6559,2.00549,-7.7419,1.95902,-11.828,1.91169,-17.8495,1.30867,-28.60215
0.20335,55.4839,0.40631,50.1075,0.63586,44.3011,0.91841,37.2043,1.12981,30.7527,1.34122,24.3011,1.52661,19.5699,1.69423,15.0538,1.62981,10.7527,1.74425,7.0968,1.82307,3.6559,2.0267,-0.2151,2.15017,-3.6559,2.06799,-7.7419,2.02152,-11.828,1.96526,-17.8495,1.35341,-28.38709
0.23945,56.3441,0.43319,50.3226,0.68953,44.5161,0.95412,37.2043,1.17446,30.7527,1.39498,24.7312,1.57125,19.5699,1.75673,15.0538,1.69231,10.7527,1.81568,7.0968,1.88548,3.4409,2.08037,0,2.2216,-3.6559,2.12165,-7.5269,2.0483,-11.828,2.02785,-17.6344,1.38029,-28.17204
0.25741,56.5591,0.44222,50.5376,0.73427,44.7312,0.99896,37.6344,1.22803,30.7527,1.45739,24.5161,1.64268,19.5699,1.82816,15.0538,1.73696,10.7527,1.88711,7.0968,1.93905,3.4409,2.13394,0,2.29302,-3.6559,2.18406,-7.7419,2.07509,-11.828,2.05464,-17.6344,1.40708,-28.17204
0.32922,57.4194,0.46017,50.7527,0.78784,44.7312,1.06165,38.0645,1.25481,30.7527,1.51998,24.7312,1.7142,19.7849,1.85495,15.0538,1.79053,10.7527,1.92282,7.0968,2.01048,3.4409,2.20527,-0.2151,2.31981,-3.6559,2.24675,-7.3118,2.14661,-11.6129,2.09035,-17.6344,1.45182,-27.95699
0.39201,58.0645,0.47812,50.9677,0.8416,45.1613,1.13317,38.2796,1.31741,30.9677,1.54686,24.9462,1.7767,19.7849,1.92647,15.2688,1.86205,10.9677,1.9764,7.0968,2.06405,3.4409,2.2767,-0.2151,2.38221,-3.871,2.29139,-7.3118,2.20911,-11.6129,2.11714,-17.6344,1.51441,-27.74193
0.42791,58.4946,0.50501,51.1828,0.90429,45.5914,1.18684,38.4946,1.38001,31.1828,1.59151,24.9462,1.82144,20,1.98004,15.2688,1.89777,10.9677,2.02104,7.0968,2.10879,3.6559,2.31242,-0.2151,2.45364,-3.871,2.30925,-7.3118,2.28045,-11.828,2.17974,-17.4194,1.56808,-27.52688
0.44587,58.7097,0.53189,51.3979,0.94011,45.8065,1.24934,38.4946,1.4426,31.3979,1.63615,24.9462,1.85716,20,2.02469,15.2688,1.93348,10.9677,2.07461,7.0968,2.16236,3.6559,2.3392,-0.2151,2.525167,-3.6559,2.34496,-7.3118,2.32509,-11.828,2.24233,-17.2043,1.63068,-27.31182
0.4907,59.1398,0.55886,51.828,0.99377,46.0215,1.29398,38.4946,1.49627,31.6129,1.68982,25.1613,1.91073,20,2.09612,15.2688,1.99598,10.9677,2.14604,7.0968,2.23369,3.4409,2.4017,-0.2151,2.578738,-3.6559,2.39844,-7.5269,2.3608,-11.828,2.27805,-17.2043,1.69327,-27.09677
0.53554,59.5699,0.58565,51.828,1.04744,46.2366,1.35658,38.7097,1.5677,31.6129,1.73446,25.1613,1.96439,20.2151,2.11397,15.2688,2.03169,10.9677,2.19961,7.0968,2.30522,3.6559,2.45537,0,2.641238,-3.6559,2.45211,-7.3118,2.41447,-11.6129,2.31376,-17.2043,1.73792,-27.09677
0.58949,60.4301,0.61253,52.043,1.1012,46.6667,1.41025,38.9247,1.61244,31.828,1.80589,25.1613,2.02689,20.2151,2.15852,15.0538,2.09419,10.9677,2.25318,7.0968,2.36772,3.6559,2.500013,0,2.676952,-3.6559,2.48782,-7.3118,2.47707,-11.3978,2.38529,-16.9892,1.77373,-26.88172
0.65228,61.0753,0.63941,52.2581,1.1638,46.8817,1.47294,39.3548,1.67503,32.043,1.87741,25.3763,2.07154,20.2151,2.23004,15.2688,2.14777,10.9677,2.30675,7.0968,2.43905,3.4409,2.553488,-0.2151,2.712667,-3.6559,2.523534,-7.3118,2.539663,-11.1828,2.44779,-16.9892,1.79168,-26.66666
0.71516,61.9355,0.6663,52.4731,1.20854,47.0968,1.50865,39.3548,1.7287,32.2581,1.94884,25.3763,2.14306,20.4301,2.25683,15.2688,2.21919,10.9677,2.37818,7.0968,2.48369,3.4409,2.589203,-0.2151,2.766238,-3.6559,2.568177,-7.3118,2.575378,-11.1828,2.510382,-16.7742,1.80954,-26.66666
0.75107,62.3656,0.70211,52.6882,1.24435,47.3118,1.54446,39.5699,1.77344,32.4731,2.01134,25.3763,2.21439,20.2151,2.30157,15.4839,2.28169,10.9677,2.44971,7.3118,2.546192,3.4409,2.615988,-0.2151,2.810881,-3.6559,2.61282,-7.3118,2.646806,-11.1828,2.537167,-16.7742,1.83632,-26.66666
0.79571,62.3656,0.72899,52.9032,1.31578,47.3118,1.58911,39.5699,1.80906,32.2581,2.04715,25.5914,2.27689,20.2151,2.32845,15.6989,2.34419,10.9677,2.51211,7.0968,2.572978,3.4409,2.651703,-0.2151,2.873381,-3.6559,2.666392,-7.3118,2.700378,-11.1828,2.608596,-16.7742,1.85418,-26.66666
0.81366,62.5806,0.75597,53.3333,1.38749,47.957,1.63385,39.7849,1.86263,32.2581,2.11868,25.8065,2.33056,20.4301,2.38202,15.6989,2.40679,11.1828,2.57461,7.0968,2.635574,3.6559,2.714203,-0.2151,2.926952,-3.6559,2.711034,-7.3118,2.736092,-11.1828,2.671192,-16.5591,1.87204,-26.66666
0.84064,63.0108,0.78285,53.5484,1.41428,47.957,1.69654,40.2151,1.90737,32.4731,2.15439,25.8065,2.39297,20.2151,2.40881,15.6989,2.46929,11.1828,2.646038,7.0968,2.706906,3.4409,2.749917,-0.2151,2.989452,-3.6559,2.764606,-7.3118,2.807617,-10.9677,2.74262,-16.5591,1.90775,-26.66666
0.90333,63.4409,0.8007,53.5484,1.44107,47.957,1.72332,40.2151,1.95211,32.6882,2.21689,25.8065,2.4377,20.4301,2.42666,15.6989,2.522862,11.1828,2.708538,7.0968,2.760478,3.4409,2.812417,-0.2151,3.051952,-3.6559,2.827106,-7.3118,2.861092,-11.1828,2.805216,-16.3441,1.97044,-26.23656
0.93022,63.6559,0.83642,53.5484,1.51269,48.3871,1.77689,40.2151,1.98782,32.6882,2.28851,26.2366,2.500301,20.6452,2.497997,15.4839,2.594195,10.9677,2.744253,7.0968,2.823074,3.6559,2.85706,-0.2151,3.105524,-3.6559,2.880677,-7.3118,2.932617,-10.9677,2.849859,-16.3441,2.02411,-26.0215
0.98388,63.871,0.8633,53.7634,1.56635,48.6022,1.83959,40.6452,2.04139,32.6882,2.35101,26.2366,2.536015,20.6452,2.524782,15.4839,2.629909,10.9677,2.788991,7.3118,2.885478,3.4409,2.919656,0,3.150263,-3.4409,2.952106,-7.3118,2.959402,-10.9677,2.921288,-16.3441,2.07768,-26.0215
1.02881,64.5161,0.89921,54.1936,1.61109,48.8172,1.88433,40.8602,2.08613,32.9032,2.40468,26.4516,2.607444,20.6452,2.596211,15.4839,2.683481,10.9677,2.833538,7.0968,2.947978,3.4409,2.982156,0,3.17244,6.2366,3.014606,-7.3118,3.021902,-10.9677,2.983884,-16.129,2.14037,-25.59139
1.09141,64.7312,0.93502,54.4086,1.6469,49.0323,1.94683,40.8602,2.13077,32.9032,2.45815,26.2366,2.661015,20.6452,2.649782,15.4839,2.737052,10.9677,2.860324,7.0968,2.974763,3.4409,3.04456,-0.2151,3.185689,15.914,3.08613,-7.0968,3.084402,-10.9677,3.046576,-15.6989,2.18502,-25.59139
1.12713,64.7312,0.9618,54.4086,1.70047,49.0323,2.01835,41.0753,2.16649,32.9032,2.511726,26.2366,2.73254,20.8602,2.721211,15.4839,2.790624,10.9677,2.905063,7.3118,3.028431,3.6559,3.098131,-0.2151,3.221211,15.4839,3.139702,-7.0968,3.120213,-10.7527,3.118004,-15.6989,2.22966,-25.59139
1.17186,64.9462,0.99761,54.6237,1.76317,49.4624,2.08997,41.5054,2.2023,33.1183,2.574322,26.4516,2.79504,20.8602,2.783807,15.6989,2.844195,10.9677,2.940777,7.3118,3.064049,3.4409,3.133941,0,3.4089991,16.129,3.171192,3.4409,3.155927,-10.7527,3.153719,-15.6989,2.30128,-25.16129
1.19875,65.1613,1.01557,54.8387,1.82586,49.8925,2.14364,41.7204,2.26489,33.3333,2.636918,26.6667,2.857636,21.0753,2.82845,15.6989,2.897766,10.9677,2.994349,7.3118,3.126645,3.6559,3.160631,-0.2151,3.605428,16.129,3.185593,15.6989,3.165912,-8.3871,3.163703,-13.3333,2.33699,-25.16129
1.2167,65.3763,1.05147,55.2688,1.88845,50.1075,2.17042,41.7204,2.30061,33.3333,2.699514,26.8817,2.884422,21.0753,2.899782,15.4839,2.951338,10.9677,3.056753,7.0968,3.153431,3.6559,3.17436,10.5376,3.793216,16.7742,3.48935622,16.129,3.185305,15.0538,3.185401,15.2688,2.35485,-25.16129
1.27949,66.0215,1.07816,55.0538,1.95095,50.1075,2.224,41.7204,2.33632,33.3333,2.735228,26.8817,2.902279,21.0753,2.935497,15.4839,3.013838,10.9677,3.128277,7.3118,3.204314,17.6344,3.194617,15.914,3.989644,16.7742,3.837667,16.3441,3.301376,15.0538,3.310593,15.6989,2.39066,-24.94623
1.32423,66.2366,1.10504,55.2688,2.00472,50.5376,2.2865,41.7204,2.36311,33.3333,2.779871,26.8817,2.946922,21.0753,2.98014,15.4839,3.067409,10.9677,3.163991,7.3118,3.239836,17.2043,3.310785,16.129,4.186073,16.7742,4.132309,16.3441,3.658807,15.6989,3.4445214,15.6989,2.40842,-25.16129
1.36887,66.2366,1.14085,55.4839,2.05838,50.7527,2.34919,42.1505,2.4257,33.5484,2.842467,27.0968,2.973707,21.0753,3.051568,15.4839,3.130005,11.1828,3.204314,17.6344,3.311553,17.8495,3.4982848,16.129,4.373381,16.3441,4.435977,16.5591,3.85514,15.4839,3.5784499,15.6989,2.45326,-24.73118
1.43156,66.6667,1.1589,55.914,2.11196,50.7527,2.40276,42.1505,2.47044,33.7634,2.88711,27.0968,3.027279,21.0753,3.087282,15.4839,3.16572,11.1828,3.239836,17.2043,3.356196,17.8495,3.650263,16.5591,4.62348,16.5591,4.63241,16.5591,4.060689,15.914,3.739164,15.6989,2.47112,-24.73118
