# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
      86.505         -9.114    0.000627734       0.524494         0.6839         1.8294
      87.005         -9.097     0.00062683       0.525169       0.682528        1.78433
      87.505         -9.082    0.000625929       0.525808       0.681158        1.74075
      88.005         -9.068    0.000625031       0.526414       0.679792        1.69861
      88.505         -9.055    0.000624137       0.526984       0.678428        1.65787
      89.005         -9.043    0.000623246       0.527519       0.677067        1.61848
      89.505         -9.032    0.000622358       0.528019       0.675708         1.5804
      90.005         -9.022    0.000621474       0.528483       0.674353        1.54359
      90.505         -9.013    0.000620592       0.528912          0.673        1.50802
      91.005         -9.006    0.000619714       0.529306        0.67165        1.47365
      91.505         -9.000    0.000618839       0.529664       0.670303        1.44044
      92.005         -8.995    0.000617967       0.529986       0.668959        1.40836
      92.505         -8.991    0.000617098       0.530273       0.667618        1.37738
      93.005         -8.988    0.000616231       0.530523       0.666279        1.34745
      93.505         -8.986    0.000615368       0.530738       0.664944        1.31855
      94.005         -8.986    0.000614507       0.530917       0.663611        1.29065
      94.505         -8.986    0.000613649       0.531061       0.662282        1.26372
      95.005         -8.988    0.000612794       0.531168       0.660955        1.23772
      95.505         -8.991    0.000611941       0.531239       0.659632        1.21263
      96.005         -8.995    0.000611091       0.531275       0.658311        1.18843
      96.505         -9.001    0.000610244       0.531275       0.656993        1.16508
      97.005         -9.007    0.000609399       0.531239       0.655678        1.14256
      97.505         -9.015    0.000608556       0.531168       0.654367        1.12085
      98.005         -9.023    0.000607716        0.53106       0.653058        1.09991
      98.505         -9.033    0.000606878       0.530918       0.651752        1.07974
      99.005         -9.044    0.000606042       0.530739        0.65045        1.06029
      99.505         -9.056    0.000605209       0.530525        0.64915        1.04156
     100.005         -9.069    0.000604378       0.530276       0.647854        1.02351
     100.505         -9.084    0.000603549       0.529992        0.64656        1.00614
     101.005         -9.099    0.000602722       0.529672        0.64527       0.989409
     101.505         -9.116    0.000601898       0.529317       0.643983        0.97331
     102.005         -9.133    0.000601075       0.528927       0.642699       0.957821
     102.505         -9.152    0.000600254       0.528502       0.641418       0.942924
     103.005         -9.172    0.000599435       0.528042        0.64014       0.928599
     103.505         -9.193    0.000598619       0.527548       0.638866       0.914831
     104.005         -9.215    0.000597804       0.527019       0.637594       0.901602
     104.505         -9.238     0.00059699       0.526455       0.636326       0.888896
     105.005         -9.262    0.000596179       0.525857       0.635061       0.876697
     105.505         -9.288    0.000595369       0.525225       0.633799       0.864991
     106.005         -9.314    0.000594561       0.524558       0.632541       0.853762
     106.505         -9.341    0.000593755       0.523858       0.631285       0.842996
     107.005         -9.370    0.000592951       0.523123       0.630033        0.83268
     107.505         -9.399    0.000592147       0.522355       0.628785         0.8228
     108.005         -9.430    0.000591346       0.521553       0.627539       0.813343
